交叉口,方向,方向计数
环东路-纬中路,1,103
环东路-纬中路,2,89
环东路-纬中路,3,203
环东路-纬中路,4,451
环西路-纬中路,1,20611
环西路-纬中路,2,17884
环西路-纬中路,3,12412
环西路-纬中路,4,15796
纬中路-景区出入口,1,10836
纬中路-景区出入口,2,11640
纬中路-景区出入口,4,92
经一路-纬中路,1,8041
经一路-纬中路,2,10564
经一路-纬中路,3,3570
经一路-纬中路,4,4870
经三路-纬中路,1,7224
经三路-纬中路,2,8426
经三路-纬中路,3,4714
经三路-纬中路,4,4717
经中路-环北路,1,6104
经中路-环北路,2,4115
经中路-环北路,3,7999
经中路-环北路,4,10693
经中路-环南路,1,10462
经中路-环南路,2,11363
经中路-环南路,3,9601
经中路-环南路,4,8715
经中路-纬一路,1,4835
经中路-纬一路,2,6001
经中路-纬一路,3,10611
经中路-纬一路,4,10017
经中路-纬中路,1,10964
经中路-纬中路,2,8100
经中路-纬中路,3,8065
经中路-纬中路,4,11783
经二路-纬中路,1,6382
经二路-纬中路,2,5624
经五路-纬中路,1,3622
经五路-纬中路,2,4472
经五路-纬中路,3,782
经五路-纬中路,4,744
经四路-纬中路,1,455
经四路-纬中路,2,465
经四路-纬中路,3,530
经四路-纬中路,4,453
